MonthAndYear,date,Open,High,Low,series2,series1,Adj Close,Volume
19-Jun,2019-06-01,50.7925,55.342499,49.602501,53.26,,52.020744,1895406800
19-Jul,2019-07-01,53.474998,54.5075,48.145,52.19,,50.970757,2724326400
19-Aug,2019-08-01,51.607498,56.605,51.055,55.99,,54.897453,2170268400
19-Sep,2019-09-01,56.267502,62.4375,53.782501,62.19,33.36,60.973743,2433210800
19-Oct,2019-10-01,62.384998,67,62.290001,66.81,,65.505836,1793326000
