MonthAndYear,Date,Open,High,Low,Close,AdjClose,Volume
20-Jun,6/30/19,50.7925,55.342499,49.602501,53.26,52.020744,1895406800
20-Jul,7/31/19,53.474998,54.5075,48.145,52.19,50.970757,2724326400
20-Aug,8/31/19,51.607498,56.605,51.055,55.99,54.897453,2170268400
20-Sep,9/30/19,56.267502,62.4375,53.782501,62.19,60.973743,2433210800
20-Oct,10/31/19,62.384998,67,62.290001,66.81,65.505836,1793326000
